2.88432, 41715, 1
9.34112, 58149, 1
10.5461, 86449, 1
3.99024, 106343, 1
7.03776, 114004, 1
6.99264, 117193, 1
7.01728, 119309, 1
6.77952, 121250, 1
4.35808, 122308, 1
0.04656, 121199, 1
0, 121199, 1
0, 121199, 1
0, 121199, 1
0.0056, 121199, 1
0.06, 121044, 1
0.36, 120745, 1
3.36, 118381, 1
5.64, 113440, 1
5.94, 107999, 1
6.3, 103241, 1
5.94, 99293, 1
6.12, 96053, 1
6.18, 93297, 1
6.66, 90398, 1
6.78, 87755, 1
6.66, 85538, 1
6.72, 83591, 1
6.24, 81882, 1
5.88, 80093, 1
6.12, 78426, 1
6.36, 76941, 1
6.3, 75621, 1
6.42, 74444, 1
6.42, 73390, 1
6.66, 72445, 1
6.54, 71588, 1
6.6, 70748, 1
7.26, 69805, 1
6.96, 69004, 1
6.84, 68290, 1
6.84, 67628, 1
6.84, 67009, 1
7.2, 66275, 1
7.08, 65657, 1
6.96, 65077, 1
6.84, 64551, 1
7.08, 64044, 1
6.96, 63560, 1
6.96, 63093, 1
6.96, 62649, 1
7.14, 62237, 1
6.96, 61873, 1
7.02, 61544, 1
7.02, 61258, 1
7.02, 61019, 1
7.14, 60833, 1
7.08, 60700, 1
7.08, 60630, 1
7.08, 60636, 1
7.08, 60721, 1
7.02, 60882, 1
7.14, 61113, 1
5.83488, 61412, 1
7.5, 61182, 1
7.2, 61048, 1
6.96, 61015, 1
7.14, 61056, 1
6.9, 61145, 1
5.89296, 61236, 1
6.66, 60970, 1
6.84, 60742, 1
6.9, 60546, 1
5.58, 60262, 1
6.18, 59915, 1
6.18, 59595, 1
6.3, 59291, 1
6.42, 59010, 1
6.36, 58742, 1
6.42, 58487, 1
6.48, 58246, 1
6.36, 58012, 1
6.36, 57783, 1
6.48, 57562, 1
6.24, 57371, 1
6.24, 57188, 1
6.12, 57020, 1
6.12, 56878, 1
6, 56749, 1
5.76, 56647, 1
4.92, 56519, 1
5.28, 56301, 1
5.64, 56088, 1
5.58, 55907, 1
5.7, 55758, 1
5.7, 55639, 1
5.7, 55540, 1
5.58, 55457, 1
4.8, 55371, 1
4.74, 55228, 1
4.98, 55093, 1
4.98, 54964, 1
4.92, 54845, 1
5.1, 54732, 1
5.16, 54625, 1
5.16, 54520, 1
5.04, 54415, 1
5.16, 54311, 1
5.04, 54211, 1
5.04, 54112, 1
5.16, 54014, 1
5.04, 53920, 1
5.1, 53842, 1
5.04, 53772, 1
5.04, 53710, 1
4.8, 53659, 1
4.92, 53616, 1
5.4, 53504, 1
5.46, 53394, 1
5.34, 53311, 1
5.46, 53250, 1
5.34, 53207, 1
4.68, 53087, 1
5.16, 52950, 1
5.64, 52812, 1
5.46, 52693, 1
5.7, 52586, 1
5.58, 52498, 1
5.58, 52419, 1
5.76, 52347, 1
5.7, 52289, 1
5.64, 52235, 1
5.64, 52183, 1
5.64, 52130, 1
5.64, 52080, 1
5.64, 52029, 1
5.76, 51978, 1
5.52, 51929, 1
